Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Lainnya,66605221,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,66629118,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,63430070,E-Purchasing,BADAN GIZI NASIONAL,Belanja Jasa Lainnya,BADAN GIZI NASIONAL,Ya,APBN,2026,1290000000
Penyedia,Jasa Lainnya,66230268,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Barang,65095130,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Bahan,BADAN GIZI NASIONAL,Ya,APBN,2026,406440000
Penyedia,Barang,64824137,E-Purchasing,BADAN GIZI NASIONAL,Pengadaan Kontener Kearsipan,BADAN GIZI NASIONAL,Ya,APBN,2026,22378000
Penyedia,Jasa Konsultansi,63430343,Seleksi,BADAN GIZI NASIONAL,Belanja Jasa Konsultan,BADAN GIZI NASIONAL,Ya,APBN,2026,1128000000
Penyedia,Barang,63245125,E-Purchasing,BADAN GIZI NASIONAL,Seminar Kit,BADAN GIZI NASIONAL,Ya,APBN,2026,18362000
Penyedia,Jasa Lainnya,66230370,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,64265100,Pengadaan Langsung,BADAN GIZI NASIONAL,Sewa Kendaraan Roda 4 (Jawa  Barat),BADAN GIZI NASIONAL,Ya,APBN,2026,23712000
Penyedia,Jasa Lainnya,66094671,Dikecualikan,BADAN GIZI NASIONAL,"Sewa SPPG Terpencil di Desa Kelapa Sebatang, Sumatera Utara",BADAN GIZI NASIONAL,Ya,APBN,2026,1648946634
Penyedia,Jasa Lainnya,65095132,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya,BADAN GIZI NASIONAL,Ya,APBN,2026,1080000000
Penyedia,Jasa Lainnya,63440730,E-Purchasing,BADAN GIZI NASIONAL,Sewa Cloud Server,BADAN GIZI NASIONAL,Ya,APBN,2026,50000000
Penyedia,Jasa Lainnya,66406147,Pengadaan Langsung,BADAN GIZI NASIONAL,Paket Fullday Pengembangan Karir ASN,BADAN GIZI NASIONAL,Ya,APBN,2026,100100000
Penyedia,Jasa Lainnya,65650971,Dikecualikan,BADAN GIZI NASIONAL,Fullday Meeting,BADAN GIZI NASIONAL,Ya,APBN,2026,95550000
Penyedia,Jasa Lainnya,63430149,E-Purchasing,BADAN GIZI NASIONAL,Belanja Jasa Lainnya,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,64264907,E-Purchasing,BADAN GIZI NASIONAL,Biaya Paket Kegiatan Rapat/Pertemuan Full Day di Luar Kantor - Pejabat Eselon III ke bawah (Kalimantan  Barat),BADAN GIZI NASIONAL,Ya,APBN,2026,334400000
Penyedia,Jasa Lainnya,66228329,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,66629245,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,66230595,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,66628816,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,64158625,E-Purchasing,BADAN GIZI NASIONAL,Belanja Sewa,BADAN GIZI NASIONAL,Ya,APBN,2026,46951000000
Penyedia,Jasa Lainnya,66228188,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
Penyedia,Jasa Lainnya,66587646,Pengadaan Langsung,BADAN GIZI NASIONAL,Belanja Jasa Lainnya penyelenggaraan Kegiatan Sosialisasi Badan Gizi Nasional bersama Komisi IX DPR RI di 38 Provinsi,BADAN GIZI NASIONAL,Ya,APBN,2026,200000000
