Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Barang,64144800,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Makan Rapat Biasa JAWA BARAT Pelaksanaan Pemutakhiran Data dan Neraca Sumber Panas Bumi,PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Ya,APBN,2026,1889000
Penyedia,Jasa Lainnya,66536996,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Paket Fullboard Meeting Bandung Es. III,DIREKTORAT JENDERAL MINYAK DAN GAS BUMI,Ya,APBN,2026,65390000
Penyedia,Jasa Lainnya,66355055,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ekspose Media,SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,4074125000
Penyedia,Barang,66095383,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Monitor PC,DITJEN MINERAL DAN BATUBARA,Ya,APBN,2026,70000000
Penyedia,Barang,66356545,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,SEKRETARIAT JENDERAL KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Ya,APBN,2026,252000
Penyedia,Barang,65594065,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan,BALAI PENDIDIKAN DAN PELATIHAN TAMBANG BAWAH TANAH DI SAWAH LUNTO,Ya,APBN,2026,82000
Penyedia,Jasa Lainnya,63621643,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Barang Persediaan Barang Konsumsi Layanan Perbendaharaan dan Peningkatan Capaian Nilai Indikator Kinerja Pelaksanaan Anggaran,BADAN PENGATUR HILIR MINYAK DAN GAS BUMI BPH MIGAS,Ya,APBN,2026,5000000
Penyedia,Jasa Konsultansi,66494974,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Melaksanakan Pengelolaan Barang Milik Negara PEP Bandung,POLITEKNIK ENERGI DAN PERTAMBANGAN BANDUNG,Ya,APBN,2026,21600000
Penyedia,Barang,63598148,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Belanja Bahan Koordinasi dan Pelaksanaan Sistem Manajemen Energi,DIREKTORAT JENDERAL KETENAGALISTRIKAN,Ya,APBN,2026,620000
Penyedia,Barang,63661757,E-Purchasing,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Design Concept,DIREKTORAT JENDERAL ENERGI BARU TERBARUKAN DAN KONSERVASI ENERGI,Ya,APBN,2026,5500000
Penyedia,Jasa Lainnya,63627118,Pengadaan Langsung,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Pemeliharaan Gedung Bertingkat (Bangunan Gedung Kantor Permanen),PUSAT SUMBER DAYA MINERAL BATUBARA DAN PANAS BUMI,Ya,APBN,2026,622710000
Penyedia,Jasa Konsultansi,61994395,Seleksi,KEMENTERIAN ENERGI DAN SUMBER DAYA MINERAL,Jasa Konsultansi Manajemen Proyek Pembangunan Kapal Geomarin V,BALAI BESAR SURVEI DAN PEMETAAN GEOLOGI KELAUTAN,Ya,APBN,2026,3000000000
