Cara Pengadaan,Jenis Pengadaan,Kode RUP,Metode Pengadaan,Nama Instansi,Nama Paket,Nama Satuan Kerja,Produk Dalam Negeri,Sumber Dana,Tahun Anggaran,Total Nilai (Rp)
Penyedia,Jasa Lainnya,66270509,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Kalibrasi Standard Gain Horn Antenna Kit DRH370,BALAI BESAR PENGUJIAN PERANGKAT TELEKOMUNIKASI DAN DIGITAL,Ya,APBN,2026,169552000
Swakelola,-,42765136,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Barang Non Operasional Lainnya ( INSPEKSI STASIUN MONITORING TETAP ),BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS I DENPASAR,Tidak,APBN,2026,4200000
Penyedia,Jasa Lainnya,62295771,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Penyediaan Layanan Akses Internet Broadband untuk Mendukung Percepatan Penetrasi FBB Nasional Wilayah Prov. Banten (DITAKSEL),DIREKTORAT JENDERAL INFRASTRUKTUR DIGITAL,Ya,APBN,2026,693084000
Penyedia,Barang,62490729,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Belanja Perjalanan Dinas Paket Meeting Dalam Kota Kegiatan Penyelesaian Sengketa KTP2JB,SEKRETARIAT DEWAN PERS,Ya,APBN,2026,15400000
Penyedia,Jasa Lainnya,64290212,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,002.0A.000153-Belanja Pengiriman Surat Dinas Pos Pusat-Pengiriman Surat Kantor-Operasional dan Pemeliharaan Kantor,MONUMEN PERS NASIONAL SURAKARTA,Ya,APBN,2026,810000
Penyedia,Jasa Lainnya,62253094,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pekerjaan Pemeliharaan Perangkat Monitoring Balai Monitor SFR Kelas II Jambi,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAMBI,Ya,APBN,2026,50000000
Penyedia,Barang,62183062,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Pakaian Seragam Teknis dan Tenaga Honorer Kantor Balai Monitor Spektrum Frekuensi Radio Kelas II Jayapura,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II JAYAPURA,Ya,APBN,2026,27800000
Penyedia,Pekerjaan Konstruksi,66510359,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Biaya Pengelolaan kegiatan,BALAI MONITOR SPEKTRUM FREKUENSI RADIO KELAS II BANDA ACEH,Ya,APBN,2026,24750000
Swakelola,-,43137764,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,PERIZINAN ISR MARITIM (MARITIM ON THE SPOT),LOKA MONITOR SPEKTRUM FREKUENSI RADIO MAMUJU,Tidak,APBN,2026,34610000
Penyedia,Jasa Lainnya,64522472,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pemeliharaan Operasional Pendukung Pusat Kendali di MMB9,DIREKTORAT JENDERAL PENGAWASAN RUANG DIGITAL,Ya,APBN,2026,430000000
Swakelola,-,41774199,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Evaluasi Kegiatan Keterampilan Digital Dasar dan Literasi Digital Bagi Masyarakat,BALAI PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA BANDUNG,Tidak,APBN,2026,10020000
Penyedia,Barang,62752804,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pengadaan Akun Zoom Meeting Penatausahaan,BALAI BESAR PENGEMBANGAN SDM DAN PENELITIAN KOMUNIKASI DAN INFORMATIKA MAKASSAR,Ya,APBN,2026,7500000
Penyedia,Jasa Lainnya,63184298,Dikecualikan,KEMENTERIAN KOMUNIKASI DAN DIGITAL,01443 - Belanja Perjalanan Dinas Paket Meeting Dalam Kota - Transportasi dalam kota - Perencanaan dan Persiapan Kerja Sama Media,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,1700000
Penyedia,Barang,63184057,Pengadaan Langsung,KEMENTERIAN KOMUNIKASI DAN DIGITAL,001009 - Belanja Bahan - Konsumsi Makan - Rapat Koordinasi dengan Stakeholders,DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,8117000
Swakelola,-,43142857,-,KEMENTERIAN KOMUNIKASI DAN DIGITAL,Pelaksanaan Pelatihan PNBP,BALAI PELATIHAN DAN PENGEMBANGAN TEKNOLOGI INFORMASI DAN KOMUNIKASI,Tidak,APBN,2026,296670000
Penyedia,Jasa Lainnya,65142831,E-Purchasing,KEMENTERIAN KOMUNIKASI DAN DIGITAL,000593 - Belanja Jasa lainnya - Penempatan di TV/Radio Lokal - Diseminasi Informasi Terkait Pengelolaan komunikasi publik Makan Bergizi Gratis (E),DIREKTORAT JENDERAL KOMUNIKASI PUBLIK DAN MEDIA,Ya,APBN,2026,400000000
